Academic Year,University,Level of study,Employment Situation,Occupation,Number of Graduates
2010/11,City University of Hong Kong,Undergraduate,FT employment,Teaching Profession,144
2010/11,City University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,40
2010/11,City University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,169
2010/11,City University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,42
2010/11,City University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,75
2010/11,City University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,22
2010/11,Hong Kong Baptist University,Research postgraduate,FT employment,Authors | Journalists and Related Writers,1
2010/11,Hong Kong Baptist University,Research postgraduate,FT employment,Business Professionals,4
2010/11,Hong Kong Baptist University,Research postgraduate,FT employment,Managers,1
2010/11,Hong Kong Baptist University,Research postgraduate,FT employment,Medical and Health Workers,2
2010/11,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Science Technicians,9
2010/11,Hong Kong Baptist University,Research postgraduate,FT employment,Physical and Life Scientists,2
2010/11,Hong Kong Baptist University,Research postgraduate,FT employment,System Analysts and Computer Programmers,2
2010/11,Hong Kong Baptist University,Research postgraduate,FT employment,Teaching Profession,16
2010/11,Hong Kong Baptist University,Research postgraduate,FT employment,Workers not reporting any occupation,3
2010/11,Hong Kong Baptist University,Research postgraduate,Further studies,Not in Full-time Employment,9
2010/11,Hong Kong Baptist University,Research postgraduate,Others,Not in Full-time Employment,8
2010/11,Hong Kong Baptist University,Research postgraduate,Underemployed,Not in Full-time Employment,1
2010/11,Hong Kong Baptist University,Research postgraduate,Unemployed,Not in Full-time Employment,1
2010/11,Hong Kong Baptist University,Taught postgraduate,FT employment,Teaching Profession,24
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Accountants and Auditors,71
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Aircraft and Ship Officers,1
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Architects and Surveyors,1
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Artists,39
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Authors | Journalists and Related Writers,115
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Business Professionals,429
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Clerical and Related Workers,11
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,7
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Engineering Technicians,8
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Government Officials (General Grades),14
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,11
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Legal Workers,3
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Managers,10
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Medical and Health Workers,28
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Occupations not elsewhere classified,5
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Other Professionals and Technical Workers,69
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Other Service Workers,5
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Science Technicians,18
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Physical and Life Scientists,1
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Protective Service Workers,8
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Religious Workers,1
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Sales/Service Workers,24
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,System Analysts and Computer Programmers,64
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Teaching Profession,207
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Workers not reporting any occupation,81
2010/11,Hong Kong Baptist University,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,5
2010/11,Hong Kong Baptist University,Undergraduate,Further studies,Not in Full-time Employment,183
2010/11,Hong Kong Baptist University,Undergraduate,Others,Not in Full-time Employment,31
2010/11,Hong Kong Baptist University,Undergraduate,Underemployed,Not in Full-time Employment,55
2010/11,Hong Kong Baptist University,Undergraduate,Unemployed,Not in Full-time Employment,13
2010/11,Lingnan University,Research postgraduate,FT employment,Accountants and Auditors,1
2010/11,Lingnan University,Research postgraduate,FT employment,Authors | Journalists and Related Writers,1
2010/11,Lingnan University,Research postgraduate,FT employment,System Analysts and Computer Programmers,1
2010/11,Lingnan University,Research postgraduate,FT employment,Teaching Profession,4
2010/11,Lingnan University,Research postgraduate,Further studies,Not in Full-time Employment,5
2010/11,Lingnan University,Research postgraduate,Others,Not in Full-time Employment,2
2010/11,Lingnan University,Research postgraduate,Underemployed,Not in Full-time Employment,2
2010/11,Lingnan University,Research postgraduate,Unemployed,Not in Full-time Employment,2
2010/11,Lingnan University,Undergraduate,FT employment,Accountants and Auditors,62
2010/11,Lingnan University,Undergraduate,FT employment,Artists,2
2010/11,Lingnan University,Undergraduate,FT employment,Authors | Journalists and Related Writers,32
2010/11,Lingnan University,Undergraduate,FT employment,Business Professionals,324
2010/11,Lingnan University,Undergraduate,FT employment,Clerical and Related Workers,18
2010/11,Lingnan University,Undergraduate,FT employment,Engineering Technicians,1
2010/11,Lingnan University,Undergraduate,FT employment,Government Officials (General Grades),3
2010/11,Lingnan University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,26
2010/11,Lingnan University,Undergraduate,FT employment,Managers,21
2010/11,Lingnan University,Undergraduate,FT employment,Other Professionals and Technical Workers,14
2010/11,Lingnan University,Undergraduate,FT employment,Other Service Workers,6
2010/11,Lingnan University,Undergraduate,FT employment,Protective Service Workers,9
2010/11,Lingnan University,Undergraduate,FT employment,Sales/Service Workers,19
2010/11,Lingnan University,Undergraduate,FT employment,Teaching Profession,104
2010/11,Lingnan University,Undergraduate,FT employment,Workers not reporting any occupation,6
2010/11,Lingnan University,Undergraduate,Further studies,Not in Full-time Employment,72
2010/11,Lingnan University,Undergraduate,Others,Not in Full-time Employment,15
2010/11,Lingnan University,Undergraduate,Underemployed,Not in Full-time Employment,21
2010/11,Lingnan University,Undergraduate,Unemployed,Not in Full-time Employment,7
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Accountants and Auditors,4
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Authors | Journalists and Related Writers,4
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Business Professionals,20
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,4
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Engineers,9
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Government Officials (General Grades),2
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Insurance | Real Estate | and Business Services,1
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Managers,6
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,9
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Other Professionals and Technical Workers,1
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,8
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Protective Service Workers,1
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Religious Workers,1
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,15
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,153
2010/11,The Chinese University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,4
2010/11,The Chinese University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,61
2010/11,The Chinese University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,51
2010/11,The Chinese University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,11
2010/11,The Chinese University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,6
2010/11,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Accountants and Auditors,1
2010/11,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,25
2010/11,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Authors | Journalists and Related Writers,1
2010/11,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,3
2010/11,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),1
2010/11,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,23
2010/11,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,9
2010/11,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Physical and Life Science Technicians,1
2010/11,The Chinese University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,181
2010/11,The Chinese University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,3
2010/11,The Chinese University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,1
2010/11,The Chinese University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,3
2010/11,The Chinese University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,3
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,171
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,3
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,38
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Artists,7
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,112
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Business Professionals,585
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,37
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,56
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,8
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Engineers,80
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),27
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,27
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Legal Workers,4
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Managers,33
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Medical and Health Workers,285
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,64
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Other Service Workers,6
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Science Technicians,14
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Physical and Life Scientists,22
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Production and Related Workers,1
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,22
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Religious Workers,3
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,25
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,System Analysts and Computer Programmers,165
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Teaching Profession,273
2010/11,The Chinese University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,8
2010/11,The Chinese University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,477
2010/11,The Chinese University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,39
2010/11,The Chinese University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,33
2010/11,The Chinese University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,61
2010/11,The Education University of Hong Kong,Sub-degree,FT employment,Sales/Service Workers,1
2010/11,The Education University of Hong Kong,Sub-degree,FT employment,Teaching Profession,166
2010/11,The Education University of Hong Kong,Sub-degree,FT employment,Workers not reporting any occupation,7
2010/11,The Education University of Hong Kong,Sub-degree,Further studies,Not in Full-time Employment,2
2010/11,The Education University of Hong Kong,Sub-degree,Others,Not in Full-time Employment,1
2010/11,The Education University of Hong Kong,Sub-degree,Underemployed,Not in Full-time Employment,4
2010/11,The Education University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,1
2010/11,The Education University of Hong Kong,Taught postgraduate,FT employment,Clerical and Related Workers,2
2010/11,The Education University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),1
2010/11,The Education University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,1
2010/11,The Education University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,134
2010/11,The Education University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,3
2010/11,The Education University of Hong Kong,Taught postgraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,4
2010/11,The Education University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,2
2010/11,The Education University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,3
2010/11,The Education University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,2
2010/11,The Education University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,1
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,2
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Business Professionals,5
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,4
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Government Officials (General Grades),1
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,2
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Legal Workers,1
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Managers,1
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Other Professionals and Technical Workers,6
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Other Service Workers,2
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Protective Service Workers,1
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Sales/Service Workers,7
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Teaching Profession,405
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Workers not reporting any occupation,5
2010/11,The Education University of Hong Kong,Undergraduate,FT employment,Workers reporting occupations unidentifiable or inadequately described,4
2010/11,The Education University of Hong Kong,Undergraduate,Further studies,Not in Full-time Employment,32
2010/11,The Education University of Hong Kong,Undergraduate,Others,Not in Full-time Employment,8
2010/11,The Education University of Hong Kong,Undergraduate,Underemployed,Not in Full-time Employment,11
2010/11,The Education University of Hong Kong,Undergraduate,Unemployed,Not in Full-time Employment,1
2010/11,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Artists,1
2010/11,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Business Professionals,10
2010/11,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,32
2010/11,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Engineers,6
2010/11,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Insurance | Real Estate | and Business Services,1
2010/11,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Managers,2
2010/11,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Medical and Health Workers,1
2010/11,The Hong Kong Polytechnic University,Research postgraduate,FT employment,System Analysts and Computer Programmers,2
2010/11,The Hong Kong Polytechnic University,Research postgraduate,FT employment,Teaching Profession,15
2010/11,The Hong Kong Polytechnic University,Research postgraduate,Further studies,Not in Full-time Employment,11
2010/11,The Hong Kong Polytechnic University,Research postgraduate,Others,Not in Full-time Employment,3
2010/11,The Hong Kong Polytechnic University,Research postgraduate,Unemployed,Not in Full-time Employment,4
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Architects and Surveyors,51
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Artists,37
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Authors | Journalists and Related Writers,5
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Business Professionals,95
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Clerical and Related Workers,15
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Economists | Statisticians and Mathematicians,1
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineering Technicians,17
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Engineers,46
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Insurance | Real Estate | and Business Services,3
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Medical and Health Workers,79
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Professionals and Technical Workers,23
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Other Service Workers,20
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Physical and Life Science Technicians,7
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Protective Service Workers,1
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Sales/Service Workers,17
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,System Analysts and Computer Programmers,3
2010/11,The Hong Kong Polytechnic University,Sub-degree,FT employment,Teaching Profession,9
2010/11,The Hong Kong Polytechnic University,Sub-degree,Further studies,Not in Full-time Employment,781
2010/11,The Hong Kong Polytechnic University,Sub-degree,Others,Not in Full-time Employment,11
2010/11,The Hong Kong Polytechnic University,Sub-degree,Underemployed,Not in Full-time Employment,27
2010/11,The Hong Kong Polytechnic University,Sub-degree,Unemployed,Not in Full-time Employment,27
2010/11,The Hong Kong Polytechnic University,Taught postgraduate,FT employment,Other Professionals and Technical Workers,13
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Accountants and Auditors,208
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Aircraft and Ship Officers,1
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Architects and Surveyors,96
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Artists,150
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Authors | Journalists and Related Writers,33
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Business Professionals,696
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Clerical and Related Workers,31
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,48
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineering Technicians,20
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Engineers,368
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Government Officials (General Grades),6
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,108
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Managers,1
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Medical and Health Workers,399
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Professionals and Technical Workers,99
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Other Service Workers,77
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Physical and Life Science Technicians,32
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Protective Service Workers,9
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Religious Workers,1
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Sales/Service Workers,63
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,System Analysts and Computer Programmers,146
2010/11,The Hong Kong Polytechnic University,Undergraduate,FT employment,Teaching Profession,60
2010/11,The Hong Kong Polytechnic University,Undergraduate,Further studies,Not in Full-time Employment,126
2010/11,The Hong Kong Polytechnic University,Undergraduate,Others,Not in Full-time Employment,46
2010/11,The Hong Kong Polytechnic University,Undergraduate,Underemployed,Not in Full-time Employment,82
2010/11,The Hong Kong Polytechnic University,Undergraduate,Unemployed,Not in Full-time Employment,40
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Accountants and Auditors,3
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Business Professionals,9
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,3
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineering Technicians,2
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Engineers,20
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Insurance | Real Estate | and Business Services,1
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Managers,1
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Science Technicians,4
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Physical and Life Scientists,11
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Sales/Service Workers,1
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,System Analysts and Computer Programmers,5
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Teaching Profession,75
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,FT employment,Workers not reporting any occupation,4
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,Further studies,Not in Full-time Employment,36
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,Others,Not in Full-time Employment,84
2010/11,The Hong Kong University of Science and Technology,Research postgraduate,Underemployed,Not in Full-time Employment,2
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Accountants and Auditors,210
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Agriculture and Fishery Workers,1
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Aircraft and Ship Officers,5
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Artists,3
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Authors | Journalists and Related Writers,8
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Business Professionals,401
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Clerical and Related Workers,20
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,13
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineering Technicians,39
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Engineers,257
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Government Officials (General Grades),20
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Insurance | Real Estate | and Business Services,15
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Managers,21
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Medical and Health Workers,12
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Professionals and Technical Workers,2
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Other Service Workers,6
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Science Technicians,9
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Physical and Life Scientists,13
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Protective Service Workers,6
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Religious Workers,2
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Sales/Service Workers,28
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,System Analysts and Computer Programmers,169
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Teaching Profession,107
2010/11,The Hong Kong University of Science and Technology,Undergraduate,FT employment,Workers not reporting any occupation,4
2010/11,The Hong Kong University of Science and Technology,Undergraduate,Further studies,Not in Full-time Employment,177
2010/11,The Hong Kong University of Science and Technology,Undergraduate,Others,Not in Full-time Employment,18
2010/11,The Hong Kong University of Science and Technology,Undergraduate,Underemployed,Not in Full-time Employment,52
2010/11,The Hong Kong University of Science and Technology,Undergraduate,Unemployed,Not in Full-time Employment,11
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Architects and Surveyors,1
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Authors | Journalists and Related Writers,1
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Business Professionals,15
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Economists | Statisticians and Mathematicians,5
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Engineering Technicians,2
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Engineers,15
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Insurance | Real Estate | and Business Services,2
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Legal Workers,1
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Managers,3
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Medical and Health Workers,9
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Science Technicians,21
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Physical and Life Scientists,13
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Protective Service Workers,1
2010/11,The University of Hong Kong,Research postgraduate,FT employment,System Analysts and Computer Programmers,4
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Teaching Profession,107
2010/11,The University of Hong Kong,Research postgraduate,FT employment,Workers not reporting any occupation,69
2010/11,The University of Hong Kong,Research postgraduate,Further studies,Not in Full-time Employment,50
2010/11,The University of Hong Kong,Research postgraduate,Others,Not in Full-time Employment,16
2010/11,The University of Hong Kong,Research postgraduate,Underemployed,Not in Full-time Employment,13
2010/11,The University of Hong Kong,Research postgraduate,Unemployed,Not in Full-time Employment,10
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Accountants and Auditors,1
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Architects and Surveyors,47
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Authors | Journalists and Related Writers,1
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Business Professionals,4
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Economists | Statisticians and Mathematicians,1
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Government Officials (General Grades),1
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Legal Workers,50
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Managers,1
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Medical and Health Workers,1
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Other Professionals and Technical Workers,2
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Teaching Profession,95
2010/11,The University of Hong Kong,Taught postgraduate,FT employment,Workers not reporting any occupation,75
2010/11,The University of Hong Kong,Taught postgraduate,Further studies,Not in Full-time Employment,11
2010/11,The University of Hong Kong,Taught postgraduate,Others,Not in Full-time Employment,4
2010/11,The University of Hong Kong,Taught postgraduate,Underemployed,Not in Full-time Employment,2
2010/11,The University of Hong Kong,Taught postgraduate,Unemployed,Not in Full-time Employment,3
2010/11,The University of Hong Kong,Undergraduate,FT employment,Accountants and Auditors,143
2010/11,The University of Hong Kong,Undergraduate,FT employment,Aircraft and Ship Officers,4
2010/11,The University of Hong Kong,Undergraduate,FT employment,Architects and Surveyors,90
2010/11,The University of Hong Kong,Undergraduate,FT employment,Artists,2
2010/11,The University of Hong Kong,Undergraduate,FT employment,Authors | Journalists and Related Writers,54
2010/11,The University of Hong Kong,Undergraduate,FT employment,Business Professionals,503
2010/11,The University of Hong Kong,Undergraduate,FT employment,Clerical and Related Workers,26
2010/11,The University of Hong Kong,Undergraduate,FT employment,Economists | Statisticians and Mathematicians,38
2010/11,The University of Hong Kong,Undergraduate,FT employment,Engineering Technicians,9
